,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
36,0 days 00:00:23,A: I found a staircase,A,All
37,0 days 00:00:27,B: found,B,All
39,0 days 00:00:32,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
40,0 days 00:00:33,B: grey railing,B,All
41,0 days 00:00:41,B: wooden stairs,B,All
42,0 days 00:00:49,B: beige walls,B,All
43,0 days 00:00:56,B: we might be in different rooms,B,All
44,0 days 00:01:03,A: plant on left bottom of stairs,A,All
45,0 days 00:01:12,B: no plant in mine,B,All
46,0 days 00:01:21,A: mine staircase kind of spirals up to the left,A,All
47,0 days 00:01:23,B: do you want to look for me or me for you,B,All
48,0 days 00:01:29,A: find me please,A,All
49,0 days 00:01:35,A: wooden railings,A,All
54,0 days 00:01:41,B: spiral,B,All
55,0 days 00:01:43,A: yes,A,All
56,0 days 00:01:46,B: marble,B,All
57,0 days 00:01:51,B: wooden rail,B,All
58,0 days 00:01:56,A: see the plant on left,A,All
60,0 days 00:02:06,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
61,0 days 00:02:08,B: rod iron,B,All
62,0 days 00:02:13,A: yes,A,All
64,0 days 00:02:15,GM: Well done! Both of you are                            indeed in the same room of type: s/staircase!,GM,All
65,0 days 00:02:15,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
66,0 days 00:02:16,GM: ,GM,All
67,0 days 00:02:16,GM: Here's your token: 575TI36O5,GM,All
68,0 days 00:02:34,B: ,B,All
70,0 days 00:02:44,A: ,A,All
72,0 days 00:03:02,GM: Attention: you are in the game for 3 minutes!,GM,All
73,0 days 01:22:19,GM: ,GM,All
